manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,location_region,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed
Mercedes-Benz,G300,mechanical,black,750000,1993,diesel,FALSE,diesel,3,suv,FALSE,owned,all,"12,500.00",TRUE,Витебская обл.,7,72,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,483
Hyundai,Santa Fe,mechanical,black,153000,2008,diesel,FALSE,diesel,2.2,suv,FALSE,owned,all,"12,450.00",FALSE,Гомельская обл.,4,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,59
BMW,525,automatic,grey,346000,2007,diesel,FALSE,diesel,3,universal,FALSE,owned,rear,"12,300.00",FALSE,Минская обл.,14,44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65
Hyundai,i40,automatic,black,98100,2014,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"11,900.00",FALSE,Минская обл.,3,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,57
Ford,Fiesta,mechanical,white,56000,2014,gasoline,FALSE,gasoline,1.3,hatchback,FALSE,owned,front,"8,850.00",FALSE,Минская обл.,9,41,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,71
Mitsubishi,Grandis,mechanical,violet,219000,2007,gasoline,FALSE,gasoline,2.4,minivan,FALSE,owned,front,"8,100.00",TRUE,Минская обл.,8,11,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,206
Ford,Focus,mechanical,brown,174000,2012,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,"8,000.00",FALSE,Минская обл.,8,14,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,25
Opel,Vectra,automatic,blue,330000,2007,diesel,FALSE,diesel,1.9,universal,FALSE,owned,front,"7,999.00",FALSE,Минская обл.,22,6,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,61
Volkswagen,Passat,mechanical,white,296000,2008,diesel,FALSE,diesel,2,universal,FALSE,owned,front,"7,800.00",FALSE,Брестская обл.,5,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,81
Volkswagen,LT,mechanical,white,175000,1998,diesel,FALSE,diesel,2.5,minibus,FALSE,owned,rear,"7,600.00",TRUE,Гомельская обл.,8,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36
Mazda,6,mechanical,black,295000,2008,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"7,600.00",FALSE,Гомельская обл.,13,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,20
Mazda,RX-8,mechanical,black,112500,2003,gasoline,FALSE,gasoline,2.5,coupe,FALSE,owned,rear,"7,000.00",TRUE,Минская обл.,8,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18
Ford,Mondeo,mechanical,silver,145000,2008,gas,TRUE,gasoline,2,sedan,FALSE,owned,front,"6,800.00",FALSE,Витебская обл.,8,10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,165
Audi,A6 Allroad,automatic,silver,238000,2003,gasoline,FALSE,gasoline,4.2,universal,FALSE,owned,all,"6,500.00",FALSE,Могилевская обл.,4,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,157
Volkswagen,Touran,mechanical,grey,400000,2006,diesel,FALSE,diesel,1.9,minivan,FALSE,owned,rear,"6,500.00",FALSE,Минская обл.,8,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
Pontiac,Vibe,automatic,grey,371952,2003,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,"5,700.00",FALSE,Минская обл.,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59
Skoda,Roomster,mechanical,white,190000,2009,diesel,FALSE,diesel,1.4,universal,FALSE,owned,front,"5,500.00",TRUE,Минская обл.,5,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57
Opel,Zafira,mechanical,black,455000,2002,diesel,FALSE,diesel,2.2,minivan,FALSE,owned,front,"5,350.00",TRUE,Минская обл.,5,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Mazda,MPV,automatic,white,326697,1999,gas,TRUE,gasoline,2.5,minivan,FALSE,owned,front,"4,600.00",TRUE,Гродненская обл.,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
Citroen,C5,mechanical,blue,158800,2001,gasoline,FALSE,gasoline,2,hatchback,FALSE,owned,front,"4,500.00",TRUE,Гродненская обл.,11,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,75
Chrysler,PT Cruiser,automatic,grey,100000,2006,gasoline,FALSE,gasoline,2.4,hatchback,FALSE,owned,front,"4,200.00",FALSE,Минская обл.,5,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,135
Opel,Frontera,mechanical,black,340000,1999,gasoline,FALSE,gasoline,3,suv,FALSE,owned,all,"4,000.00",TRUE,Минская обл.,5,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,275
Opel,Zafira,mechanical,blue,450000,2001,diesel,FALSE,diesel,2.2,universal,FALSE,owned,front,"3,600.00",FALSE,Минская обл.,8,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,37
Citroen,Xsara Picasso,mechanical,black,375000,2000,gasoline,FALSE,gasoline,1.8,minivan,FALSE,owned,front,"3,500.00",FALSE,Гомельская обл.,7,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,53
Renault,Scenic,mechanical,silver,311250,2002,diesel,FALSE,diesel,1.9,minivan,FALSE,owned,front,"3,250.00",TRUE,Гомельская обл.,7,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46
Opel,Astra,mechanical,blue,350000,2003,diesel,FALSE,diesel,2,universal,FALSE,owned,front,"3,200.00",FALSE,Минская обл.,6,9,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,86
Renault,Laguna,mechanical,silver,300000,2000,diesel,FALSE,diesel,1.9,hatchback,FALSE,owned,front,"2,600.00",TRUE,Минская обл.,6,144,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,215
Renault,Megane Scenic,mechanical,violet,319000,1999,gasoline,FALSE,gasoline,2,minivan,FALSE,owned,front,"2,600.00",FALSE,Витебская обл.,8,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,188
Lexus,LS,automatic,green,300000,1991,gasoline,FALSE,gasoline,4,sedan,FALSE,owned,rear,"2,500.00",TRUE,Минская обл.,6,37,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,70
Fiat,Stilo,mechanical,blue,320000,2002,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,"2,500.00",FALSE,Могилевская обл.,9,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,19
Opel,Astra,mechanical,black,387140,1998,diesel,FALSE,diesel,2,universal,FALSE,owned,front,"2,500.00",FALSE,Минская обл.,6,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64
Opel,Vectra,mechanical,blue,350000,1998,gasoline,FALSE,gasoline,1.6,universal,FALSE,owned,front,"2,100.00",TRUE,Брестская обл.,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,61
Daewoo,Matiz,mechanical,yellow,172000,2009,gasoline,FALSE,gasoline,0.8,hatchback,FALSE,owned,front,"2,000.00",FALSE,Минская обл.,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,93
Mazda,626,mechanical,grey,322000,1993,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,"1,850.00",TRUE,Брестская обл.,7,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42
Nissan,Maxima,automatic,black,361000,1995,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"1,800.00",TRUE,Минская обл.,12,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
Volkswagen,Golf,mechanical,black,250000,1996,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,"1,600.00",FALSE,Минская обл.,6,33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,44
Volkswagen,Caddy,mechanical,red,216000,2000,gasoline,FALSE,gasoline,1.4,van,FALSE,owned,front,"1,500.00",TRUE,Витебская обл.,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50
Alfa Romeo,164,mechanical,red,350480,1993,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"1,500.00",FALSE,Гомельская обл.,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67
Citroen,Xantia,mechanical,silver,404271,1998,gasoline,FALSE,gasoline,2,hatchback,FALSE,owned,front,"1,470.17",TRUE,Минская обл.,11,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,161
Volkswagen,Golf,mechanical,white,200000,1997,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,"1,450.00",FALSE,Могилевская обл.,3,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,66
Suzuki,Swift,mechanical,other,99000,1994,gasoline,FALSE,gasoline,1.3,hatchback,FALSE,owned,front,"1,300.00",FALSE,Минская обл.,10,5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,63
Citroen,Xantia,mechanical,silver,340,1994,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,"1,150.00",FALSE,Витебская обл.,8,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8
Opel,Omega,automatic,green,430000,1995,diesel,FALSE,diesel,2.5,sedan,FALSE,owned,rear,"1,100.00",FALSE,Брестская обл.,10,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,87
ВАЗ,2105,mechanical,red,50000,1981,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,rear,750,FALSE,Минская обл.,9,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61
Ford,Mondeo,mechanical,violet,300000,1995,gasoline,FALSE,gasoline,1.6,universal,FALSE,owned,front,474.25,FALSE,Минская обл.,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,67
Volkswagen,Santana,mechanical,grey,1000000,1983,gas,TRUE,gasoline,1.6,sedan,FALSE,owned,front,474.25,FALSE,Брестская обл.,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
Volkswagen,Santana,mechanical,other,320000,1982,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,400,FALSE,Минская обл.,3,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68
Nissan,Qashqai,automatic,white,14000,2018,gasoline,FALSE,gasoline,2,hatchback,FALSE,owned,front,"20,000.00",FALSE,Могилевская обл.,3,2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,90
Honda,CR-V,automatic,white,83686,2011,gasoline,FALSE,gasoline,2.4,suv,FALSE,owned,front,"13,000.00",FALSE,Минская обл.,9,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,83
Ford,Kuga,mechanical,white,250000,2010,diesel,FALSE,diesel,2,suv,FALSE,owned,all,"13,000.00",TRUE,Витебская обл.,10,48,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,171
Lifan,MyWay,mechanical,black,56000,2018,gasoline,FALSE,gasoline,1.8,suv,FALSE,owned,rear,"10,900.00",FALSE,Минская обл.,15,11,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19
Hyundai,Accent,mechanical,white,125000,2016,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,"10,500.00",FALSE,Минская обл.,3,5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,83
Peugeot,3008,automatic,white,136000,2012,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,"10,400.00",FALSE,Брестская обл.,27,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,83
Suzuki,Grand Vitara,automatic,other,159000,2008,gas,TRUE,gasoline,2,suv,FALSE,owned,all,"9,700.00",TRUE,Минская обл.,8,31,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,42
Peugeot,3008,mechanical,brown,53500,2011,gasoline,FALSE,gasoline,1.6,suv,FALSE,owned,front,"9,300.00",FALSE,Минская обл.,6,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,104
Volkswagen,Touran,mechanical,other,300000,2011,diesel,FALSE,diesel,1.6,minivan,FALSE,owned,front,"9,100.00",FALSE,Минская обл.,5,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,13
Volkswagen,Passat,mechanical,black,320000,2006,diesel,FALSE,diesel,1.9,universal,FALSE,owned,front,"7,000.00",FALSE,Минская обл.,12,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,77
Volkswagen,Passat,mechanical,black,340000,2007,diesel,FALSE,diesel,2,universal,FALSE,owned,front,"6,800.00",FALSE,Могилевская обл.,6,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,184
Opel,Corsa,automatic,red,121000,2012,gasoline,FALSE,gasoline,1.4,hatchback,FALSE,owned,front,"6,200.00",FALSE,Минская обл.,8,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39
Skoda,Fabia,mechanical,white,133000,2009,gasoline,FALSE,gasoline,1.2,universal,FALSE,owned,front,"6,000.00",FALSE,Минская обл.,7,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60
Ford,Focus,mechanical,black,106000,2012,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,"5,800.00",FALSE,Витебская обл.,8,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4
Saab,9-Mar,mechanical,black,127000,2004,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"5,800.00",FALSE,Гродненская обл.,10,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,43
Volkswagen,Golf,mechanical,other,316000,2007,diesel,FALSE,diesel,1.9,hatchback,FALSE,owned,front,"5,750.00",TRUE,Гомельская обл.,10,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
Audi,A4,mechanical,silver,323400,2002,diesel,FALSE,diesel,2.5,universal,FALSE,owned,front,"5,400.00",TRUE,Витебская обл.,5,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,89
BMW,520,mechanical,blue,336500,2001,diesel,FALSE,diesel,2,sedan,FALSE,owned,rear,"4,700.00",FALSE,Минская обл.,9,10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,144
Volkswagen,Golf,mechanical,violet,192500,2005,gasoline,FALSE,gasoline,1.6,universal,FALSE,owned,front,"4,267.76",FALSE,Могилевская обл.,15,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24
Hyundai,Tiburon,automatic,white,235125,2005,gasoline,FALSE,gasoline,2.7,coupe,FALSE,owned,front,"3,900.00",FALSE,Минская обл.,17,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,63
Audi,A6,mechanical,blue,420152,1994,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"3,900.00",TRUE,Могилевская обл.,5,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,138
Peugeot,607,automatic,blue,345000,2003,gasoline,FALSE,gasoline,2.2,sedan,FALSE,owned,front,"3,800.00",FALSE,Минская обл.,14,42,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,237
Volvo,S40,automatic,silver,270000,2000,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"3,600.00",FALSE,Минская обл.,12,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1
Mercedes-Benz,S500,automatic,silver,250000,2003,gasoline,FALSE,gasoline,5,sedan,FALSE,owned,all,"3,499.00",FALSE,Минская обл.,14,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13
Volkswagen,Bora,automatic,silver,220000,2000,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,"3,200.00",FALSE,Могилевская обл.,15,9,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,173
Mazda,323,mechanical,blue,242000,2003,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,"3,100.00",FALSE,Минская обл.,5,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1
Peugeot,406,mechanical,blue,300000,2002,diesel,FALSE,diesel,2.2,sedan,FALSE,owned,front,"2,999.00",FALSE,Минская обл.,14,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9
Citroen,Berlingo,mechanical,blue,320000,2004,gasoline,FALSE,gasoline,1.4,van,FALSE,owned,front,"2,900.00",FALSE,Брестская обл.,9,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73
Citroen,Evasion,mechanical,silver,530000,1999,gasoline,FALSE,gasoline,1.8,minivan,FALSE,owned,front,"2,800.00",FALSE,Минская обл.,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Mercedes-Benz,Vito,mechanical,green,375000,1996,gasoline,FALSE,gasoline,2.3,minibus,FALSE,owned,front,"2,700.00",FALSE,Минская обл.,4,76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
Citroen,Xsara,mechanical,blue,312135,1999,diesel,FALSE,diesel,2,universal,FALSE,owned,front,"2,450.00",FALSE,Витебская обл.,11,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,205
Mazda,323,mechanical,blue,320000,1999,gasoline,FALSE,gasoline,1.5,hatchback,FALSE,owned,front,"2,350.00",FALSE,Брестская обл.,6,9,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,29
Fiat,Punto,mechanical,silver,340000,2001,diesel,FALSE,diesel,1.9,hatchback,FALSE,owned,front,"2,300.00",FALSE,Минская обл.,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,53
BMW,318,mechanical,blue,285000,1996,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,rear,"2,100.00",FALSE,Минская обл.,6,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,74
Peugeot,406,mechanical,green,325676,1998,diesel,FALSE,diesel,1.9,universal,FALSE,owned,front,"1,990.00",FALSE,Гомельская обл.,13,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28
Kia,Shuma,mechanical,green,328000,2000,gasoline,FALSE,gasoline,1.5,sedan,FALSE,owned,front,"1,950.00",FALSE,Минская обл.,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,89
Renault,Megane Scenic,automatic,blue,168000,1998,gasoline,FALSE,gasoline,2,minivan,FALSE,owned,front,"1,800.00",TRUE,Минская обл.,9,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,68
Citroen,Berlingo,mechanical,silver,410000,2002,gasoline,FALSE,gasoline,1.4,universal,FALSE,owned,front,"1,800.00",FALSE,Минская обл.,5,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30
Mercedes-Benz,C180,mechanical,blue,415000,1997,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,"1,750.00",FALSE,Гродненская обл.,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Renault,Safrane,mechanical,green,380000,1998,gas,TRUE,gasoline,2,sedan,FALSE,owned,front,"1,700.00",TRUE,Минская обл.,11,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80
Mercedes-Benz,190,mechanical,blue,330000,1988,diesel,FALSE,diesel,2.5,sedan,FALSE,emergency,rear,"1,500.00",FALSE,Минская обл.,15,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,90
Peugeot,406,mechanical,green,390000,1995,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,"1,300.00",FALSE,Брестская обл.,2,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,167
Renault,Laguna,mechanical,other,222222,1995,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,"1,150.00",TRUE,Могилевская обл.,8,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29
Fiat,Fiorino,mechanical,white,300000,1998,gasoline,FALSE,gasoline,1.4,minivan,FALSE,owned,front,"1,000.00",FALSE,Минская обл.,7,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59
Volkswagen,Golf,mechanical,red,84000,1982,gasoline,FALSE,gasoline,1.3,hatchback,FALSE,owned,front,990,TRUE,Минская обл.,3,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,125
Lancia,Delta,mechanical,grey,199000,1997,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,948.5,FALSE,Минская обл.,8,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72
ВАЗ,2107,mechanical,violet,92240,1999,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,rear,600,TRUE,Гомельская обл.,6,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30
